311,Once_Upon_a_Time_in_America,"A_former_Prohibition-era_Jewish_gangster_returns_to_the_Lower_East_Side_of_Manhattan_over_thirty_years_later _where_he_once_again_must_confront_the_ghosts_and_regrets_of_his_old_life.",175,45.096,8.4,5290
120,The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,"Young_hobbit_Frodo_Baggins _after_inheriting_a_mysterious_ring_from_his_uncle_Bilbo _must_leave_his_home_in_order_to_keep_it_from_falling_into_the_hands_of_its_evil_creator._Along_the_way _a_fellowship_is_formed_to_protect_the_ringbearer_and_make_sure_that_the_ring_arrives_at_its_final_destination:_Mt._Doom _the_only_place_where_it_can_be_destroyed.",389,186.299,8.414,24809
372754,Dou_kyu_sei_–_Classmates,"Rihito_Sajo _an_honor_student_with_a_perfect_score_on_the_entrance_exam_and_Hikaru_Kusakabe _in_a_band_and_popular_among_girls _would_have_never_crossed_paths._Until_one_day_they_started_talking_at_the_practice_for_their_school’s_upcoming_chorus_festival._After_school _the_two_meet_regularly _as_Hikaru_helps_Rihito_to_improve_his_singing_skills._While_they_listen_to_each_other’s_voice_and_harmonize _their_hearts_start_to_beat_together.",561,16.882,8.4,374
4935,Howl's_Moving_Castle,"Sophie _a_young_milliner _is_turned_into_an_elderly_woman_by_a_witch_who_enters_her_shop_and_curses_her._She_encounters_a_wizard_named_Howl_and_gets_caught_up_in_his_resistance_to_fighting_for_the_king.",422,95.447,8.403,9720
324857,Spider-Man:_Into_the_Spider-Verse,"Struggling_to_find_his_place_in_the_world_while_juggling_school_and_family _Brooklyn_teenager_Miles_Morales_is_unexpectedly_bitten_by_a_radioactive_spider_and_develops_unfathomable_powers_just_like_the_one_and_only_Spider-Man._While_wrestling_with_the_implications_of_his_new_abilities _Miles_discovers_a_super_collider_created_by_the_madman_Wilson_Kingpin_Fisk _causing_others_from_across_the_Spider-Verse_to_be_inadvertently_transported_to_his_dimension.",595,97.33,8.401,15379
704264,Primal:_Tales_of_Savagery,"Genndy_Tartakovsky's_Primal:_Tales_of_Savagery_features_a_caveman_and_a_dinosaur_on_the_brink_of_extinction._Bonded_by_tragedy _this_unlikely_friendship_becomes_the_only_hope_of_survival.",607,13.901,8.4,310
40096,A_Dog's_Will,"The_lively_João_Grilo_and_the_sly_Chicó_are_poor_guys_living_in_the_hinterland_who_cheat_a_bunch_of_people_in_a_small_town_in_Northeastern_Brazil._When_they_die _they_have_to_be_judged_by_Christ _the_Devil_and_the_Virgin_Mary_before_they_are_admitted_to_paradise.",373,12.837,8.4,1081
14537,Harakiri,"Down-on-his-luck_veteran_Tsugumo_Hanshirō_enters_the_courtyard_of_the_prosperous_House_of_Iyi._Unemployed _and_with_no_family _he_hopes_to_find_a_place_to_commit_seppuku—and_a_worthy_second_to_deliver_the_coup_de_grâce_in_his_suicide_ritual._The_senior_counselor_for_the_Iyi_clan_questions_the_ronin’s_resolve_and_integrity _suspecting_Hanshirō_of_seeking_charity_rather_than_an_honorable_end._What_follows_is_a_pair_of_interlocking_stories_which_lay_bare_the_difference_between_honor_and_respect _and_promises_to_examine_the_legendary_foundations_of_the_Samurai_code.",-88,39.354,8.397,969
121,The_Lord_of_the_Rings:_The_Two_Towers,"Frodo_Baggins_and_the_other_members_of_the_Fellowship_continue_on_their_sacred_quest_to_destroy_the_One_Ring--but_on_separate_paths._Their_destinies_lie_at_two_towers--Orthanc_Tower_in_Isengard _where_the_corrupt_wizard_Saruman_awaits _and_Sauron's_fortress_at_Barad-dur _deep_within_the_dark_lands_of_Mordor._Frodo_and_Sam_are_trekking_to_Mordor_to_destroy_the_One_Ring_of_Power_while_Gimli _Legolas_and_Aragorn_search_for_the_orc-captured_Merry_and_Pippin._All_along _nefarious_wizard_Saruman_awaits_the_Fellowship_members_at_the_Orthanc_Tower_in_Isengard.",401,137.087,8.397,21558
724089,Gabriel's_Inferno:_Part_II,"Professor_Gabriel_Emerson_finally_learns_the_truth_about_Julia_Mitchell's_identity _but_his_realization_comes_a_moment_too_late._Julia_is_done_waiting_for_the_well-respected_Dante_specialist_to_remember_her_and_wants_nothing_more_to_do_with_him._Can_Gabriel_win_back_her_heart_before_she_finds_love_in_another's_arms?",615,9.431,8.4,1509
255709,Hope,"After_8-year-old_So-won_narrowly_survives_a_brutal_sexual_assault _her_family_labors_to_help_her_heal_while_coping_with_their_own_rage_and_grief.",532,30.576,8.394,719
1160164,TAYLOR_SWIFT_|_THE_ERAS_TOUR,"The_cultural_phenomenon_continues_on_the_big_screen!_Immerse_yourself_in_this_once-in-a-lifetime_concert_film_experience_with_a_breathtaking _cinematic_view_of_the_history-making_tour.",654,59.408,8.4,377
1891,The_Empire_Strikes_Back,"The_epic_saga_continues_as_Luke_Skywalker _in_hopes_of_defeating_the_evil_Galactic_Empire _learns_the_ways_of_the_Jedi_from_aging_master_Yoda._But_Darth_Vader_is_more_determined_than_ever_to_capture_Luke._Meanwhile _rebel_leader_Princess_Leia _cocky_Han_Solo _Chewbacca _and_droids_C-3PO_and_R2-D2_are_thrown_into_various_stages_of_capture _betrayal_and_despair.",126,49.351,8.392,16755
761053,Gabriel's_Inferno:_Part_III,The_final_part_of_the_film_adaption_of_the_erotic_romance_novel_Gabriel's_Inferno_written_by_an_anonymous_Canadian_author_under_the_pen_name_Sylvain_Reynard.,619,28.514,8.4,1049
244786,Whiplash,"Under_the_direction_of_a_ruthless_instructor _a_talented_young_drummer_begins_to_pursue_perfection_at_any_cost _even_his_humanity.",545,89.341,8.382,14891
423,The_Pianist,"The_true_story_of_pianist_Władysław_Szpilman's_experiences_in_Warsaw_during_the_Nazi_occupation._When_the_Jews_of_the_city_find_themselves_forced_into_a_ghetto _Szpilman_finds_work_playing_in_a_café;_and_when_his_family_is_deported_in_1942 _he_stays_behind _works_for_a_while_as_a_laborer _and_eventually_goes_into_hiding_in_the_ruins_of_the_war-torn_city.",398,46.878,8.4,9044
378064,A_Silent_Voice:_The_Movie,"Shouya_Ishida_starts_bullying_the_new_girl_in_class _Shouko_Nishimiya _because_she_is_deaf._But_as_the_teasing_continues _the_rest_of_the_class_starts_to_turn_on_Shouya_for_his_lack_of_compassion._When_they_leave_elementary_school _Shouko_and_Shouya_do_not_speak_to_each_other_again..._until_an_older _wiser_Shouya _tormented_by_his_past_behaviour _decides_he_must_see_Shouko_once_more._He_wants_to_atone_for_his_sins _but_is_it_already_too_late...?",568,54.303,8.38,3895
1058694,Radical,"In_a_Mexican_border_town_plagued_by_neglect _corruption _and_violence _a_frustrated_teacher_tries_an_unorthodox_new_method_to_break_through_his_students’_apathy_and_unlock_their_curiosity _their_potential..._and_perhaps_even_their_genius.",654,47.294,8.381,398
620249,The_Legend_of_Hei,"When_cat_spirit_Luo_Xiaohei's_home_is_deforested_by_humans _he_must_find_a_new_one._He_runs_into_a_group_of_other_spirit_creatures_who_take_him_under_their_wing_with_dreams_of_reconquering_the_land_they_say_is_rightfully_theirs._However _they_run_into_a_human_known_as_Wuxian_who_separates_Luo_Xiaohei_from_the_other_spirits_and_the_two_go_on_a_journey _with_the_cat_spirit_learning_to_control_his_abilities_as_well_as_forming_his_own_thoughts_on_whether_or_not_he_should_ally_with_the_spirits_or_the_humans.",604,21.141,8.379,354
807,Se7en,"Two_homicide_detectives_are_on_a_desperate_hunt_for_a_serial_killer_whose_crimes_are_based_on_the_seven_deadly_sins_in_this_dark_and_haunting_film_that_takes_viewers_from_the_tortured_remains_of_one_victim_to_the_next._The_seasoned_Det._Sommerset_researches_each_sin_in_an_effort_to_get_inside_the_killer's_mind _while_his_novice_partner _Mills _scoffs_at_his_efforts_to_unravel_the_case.",313,84.674,8.375,20739
27205,Inception,"Cobb _a_skilled_thief_who_commits_corporate_espionage_by_infiltrating_the_subconscious_of_his_targets_is_offered_a_chance_to_regain_his_old_life_as_payment_for_a_task_considered_to_be_impossible:_inception _the_implantation_of_another_person's_idea_into_a_target's_subconscious.",493,94.76,8.368,36238
568332,Taylor_Swift:_Reputation_Stadium_Tour,"Taylor_Swift_takes_the_stage_in_Dallas_for_the_Reputation_Stadium_Tour_and_celebrates_a_monumental_night_of_music _memories_and_visual_magic.",596,19.59,8.357,375
569094,Spider-Man:_Across_the_Spider-Verse,"After_reuniting_with_Gwen_Stacy _Brooklyn’s_full-time _friendly_neighborhood_Spider-Man_is_catapulted_across_the_Multiverse _where_he_encounters_the_Spider_Society _a_team_of_Spider-People_charged_with_protecting_the_Multiverse’s_very_existence._But_when_the_heroes_clash_on_how_to_handle_a_new_threat _Miles_finds_himself_pitted_against_the_other_Spiders_and_must_set_out_on_his_own_to_save_those_he_loves_most.",650,183.598,8.356,6728
567,Rear_Window,A_wheelchair-bound_photographer_spies_on_his_neighbors_from_his_apartment_window_and_becomes_convinced_one_of_them_has_committed_murder.,-187,32.53,8.353,6374
274,The_Silence_of_the_Lambs,"Clarice_Starling_is_a_top_student_at_the_FBI's_training_academy.__Jack_Crawford_wants_Clarice_to_interview_Dr._Hannibal_Lecter _a_brilliant_psychiatrist_who_is_also_a_violent_psychopath _serving_life_behind_bars_for_various_acts_of_murder_and_cannibalism.__Crawford_believes_that_Lecter_may_have_insight_into_a_case_and_that_Starling _as_an_attractive_young_woman _may_be_just_the_bait_to_draw_him_out.",257,18.452,8.349,16056
73,American_History_X,"Derek_Vineyard_is_paroled_after_serving_3_years_in_prison_for_killing_two_African-American_men._Through_his_brother _Danny_Vineyard's_narration _we_learn_that_before_going_to_prison _Derek_was_a_skinhead_and_the_leader_of_a_violent_white_supremacist_gang_that_committed_acts_of_racial_crime_throughout_L.A._and_his_actions_greatly_influenced_Danny._Reformed_and_fresh_out_of_prison _Derek_severs_contact_with_the_gang_and_becomes_determined_to_keep_Danny_from_going_down_the_same_violent_path_as_he_did.",346,38.262,8.345,11411
128,Princess_Mononoke,"Ashitaka _a_prince_of_the_disappearing_Emishi_people _is_cursed_by_a_demonized_boar_god_and_must_journey_to_the_west_to_find_a_cure._Along_the_way _he_encounters_San _a_young_human_woman_fighting_to_protect_the_forest _and_Lady_Eboshi _who_is_trying_to_destroy_it._Ashitaka_must_find_a_way_to_bring_balance_to_this_conflict.",335,94.791,8.335,7871
15804,A_Brighter_Summer_Day,"A_boy_experiences_first_love _friendships_and_injustices_growing_up_in_1960s_Taiwan.",262,29.323,8.3,302
1139087,Once_Upon_a_Studio,"Created_for_Disney's_100th_anniversary _the_short_features_Mickey_Mouse_corralling_a_gallery_of_legendary_Disney_characters_for_a_group_photo.",654,41.224,8.325,345
820067,The_Quintessential_Quintuplets_Movie,"When_five_lovely_young_girls_who_hate_studying_hire_part-time_tutor_Futaro _he_guides_not_only_their_education_but_also_their_hearts._Time_spent_has_brought_them_all_closer _with_feelings_growing_within_the_girls_and_Futaro._As_they_finish_their_third_year_of_high_school_and_their_last_school_festival_approaches _they_set_their_sights_on_what’s_next._Is_there_a_future_with_one_of_them_and_Futaro?",637,31.479,8.325,377
12493,High_and_Low,"In_the_midst_of_an_attempt_to_take_over_his_company _a_powerhouse_executive_is_hit_with_a_huge_ransom_demand_when_his_servants_son_is_kidnapped",-83,25.142,8.3,873
92321,Hotarubi_no_Mori_e,"One_hot_summer_day_a_little_girl_gets_lost_in_an_enchanted_forest_of_the_mountain_god_where_spirits_reside._A_young_boy_appears_before_her _but_she_cannot_touch_him_for_fear_of_making_him_disappear._And_so_a_wondrous_adventure_awaits...",507,0.023,8.3,1089
105,Back_to_the_Future,"Eighties_teenager_Marty_McFly_is_accidentally_sent_back_in_time_to_1955 _inadvertently_disrupting_his_parents'_first_meeting_and_attracting_his_mother's_romantic_interest._Marty_must_repair_the_damage_to_history_by_rekindling_his_parents'_romance_and_-_with_the_help_of_his_eccentric_inventor_friend_Doc_Brown_-_return_to_1985.",188,83.303,8.318,19664
207,Dead_Poets_Society,"At_an_elite _old-fashioned_boarding_school_in_New_England _a_passionate_English_teacher_inspires_his_students_to_rebel_against_convention_and_seize_the_potential_of_every_day _courting_the_disdain_of_the_stern_headmaster.",236,52.604,8.312,11055
10494,Perfect_Blue,"Encouraged_by_her_managers _rising_pop_star_Mima_takes_on_a_recurring_role_on_a_popular_TV_show _when_suddenly_her_handlers_and_collaborators_begin_turning_up_murdered.",342,51.752,8.31,2576
